date,^GSPC
2018-01-02,8.719145161486917
2018-01-03,11.807763565392003
2018-01-04,18.84759033073943
2018-01-05,19.736353705369154
2018-01-08,19.76517692767841
2018-01-09,23.535931836756443
2018-01-10,24.334643934329428
2018-01-11,24.772681855164876
2018-01-12,24.63143204163086
2018-01-16,25.19754837826449
2018-01-17,25.354294735212225
2018-01-18,25.359821883934785
2018-01-19,25.32748082180843
2018-01-22,25.110596392313443
2018-01-23,25.08732261801044
2018-01-24,25.868966798573247
2018-01-25,26.26659150911991
2018-01-26,26.13815402383604
2018-01-29,26.279362018153517
2018-01-30,26.393747406746765
2018-01-31,26.50634510900296
2018-02-01,26.899722517981843
2018-02-02,25.954283886497652
2018-02-05,21.18819148662469
2018-02-06,20.42651558475432
2018-02-07,21.076148974973986
2018-02-08,15.321135636983602
2018-02-09,15.121460342573892
2018-02-12,14.804235534206587
2018-02-13,14.823067429668246
2018-02-14,14.187787733401185
2018-02-15,14.525072117757908
2018-02-16,14.536790714143995
2018-02-20,14.40820442471184
2018-02-21,16.817464761085557
2018-02-22,18.182391952637428
2018-02-23,19.854715039318727
2018-02-26,19.96756483169777
2018-02-27,19.64495181136148
2018-02-28,20.14012191867888
2018-03-01,21.06535395834265
2018-03-02,21.523447122715773
2018-03-05,21.562399678005793
2018-03-06,21.70907295247305
2018-03-07,22.89170565546853
2018-03-08,22.853970022202226
2018-03-09,22.786151176375636
2018-03-12,22.810588535832046
2018-03-13,23.054595876359052
2018-03-14,23.01396277761666
2018-03-15,23.258938831972998
2018-03-16,23.601813879665514
2018-03-19,23.08693791464827
2018-03-20,23.161080875497845
2018-03-21,23.32992082244265
2018-03-22,21.524331357269396
2018-03-23,20.695448470432147
2018-03-26,18.434584347270505
2018-03-27,17.689414778397726
2018-03-28,17.632433642766035
2018-03-29,17.304441814347015
2018-04-02,15.210114776281673
2018-04-03,14.913040534540517
2018-04-04,14.372730610198808
2018-04-05,14.875894695679637
2018-04-06,12.525680902522904
2018-04-09,12.511630994279688
2018-04-10,11.624624152935093
2018-04-11,11.754648091504503
2018-04-12,11.494900103851664
2018-04-13,11.402717271742603
2018-04-16,11.45943529604203
2018-04-17,10.951712522812688
2018-04-18,10.956648925456038
2018-04-19,10.795951747340014
2018-04-20,10.54465856453824
2018-04-23,10.642545276785338
2018-04-24,9.274790964689167
2018-04-25,9.366380066856305
2018-04-26,8.883415939745696
2018-04-27,9.895404680579032
2018-04-30,10.246491884882024
2018-05-01,10.623076201507354
2018-05-02,10.719587840466763
2018-05-03,10.655482480036387
2018-05-04,9.93002850326863
2018-05-07,10.207642912151737
2018-05-08,10.219953963621844
2018-05-09,9.825999849482494
2018-05-10,9.394893879679707
2018-05-11,9.395231026390437
2018-05-14,9.55736265231934
2018-05-15,9.154100462918704
2018-05-16,9.125687752322085
2018-05-17,9.168658282937594
2018-05-18,9.249442436945339
2018-05-21,8.9517283966999
2018-05-22,9.18786353447007
2018-05-23,9.14710983424894
2018-05-24,10.36801750238925
2018-05-25,10.367986126054118
2018-05-29,9.989044980992588
2018-05-30,9.194468853764665
2018-05-31,8.860816993355899
2018-06-01,8.069353417210207
2018-06-04,8.052045105437031
2018-06-05,8.651609388164573
